"","sample","total.leaf.area","white","canopy_opennes"
"1","DSCN5837",3509038,362450,0.16747193823097
"2","DSCN5838",3562434,309054,0.142800034206191
"3","DSCN5839",3501579,369909,0.170918408605545
"4","DSCN5840",3426493,444995,0.205612291772907
"5","DSCN5841",3614154,257334,0.118902534839918
"6","DSCN5842",3591829,279659,0.129217919088798
"7","DSCN5843",3551349,320139,0.147921917046005
"8","DSCN5844",3775279,96209,0.0444538769630662
"9","DSCN5845",3838989,32499,0.0150163347235985
"10","DSCN5846",3753261,118227,0.054627410239296
"11","DSCN5847",3702762,168726,0.0779607401019688
"12","DSCN5848",3806521,64967,0.0300183457333464
"13","DSCN5849",3777401,94087,0.0434733956472265
"14","DSCN5850",3810641,60847,0.0281146779570694
"15","DSCN5851",3801306,70182,0.0324279640472504
"16","DSCN5854",3706991,164497,0.0760067082995718
"17","DSCN5855",3689611,181877,0.0840372291616335
"18","DSCN5856",3687108,184380,0.0851937535412503
"19","DSCN5857",3680709,190779,0.0881504453131912
"20","DSCN5858",3679383,192105,0.0887631306217696
"21","DSCN5859",3679289,192199,0.088806563818607
"22","DSCN5860",3678713,192775,0.0890727076630574
"23","DSCN5861",3692902,178586,0.0825166052170394
"24","DSCN5862",3702308,169180,0.0781705132015876
"25","DSCN5863",3678196,193292,0.089311590245663
"26","DSCN5864",3730331,141157,0.0652223379359056
"27","DSCN5865",3680969,190519,0.0880303109389601
"28","DSCN5866",3664606,206882,0.0955909215756641
"29","DSCN5867",3649406,222082,0.102614161915327
"30","DSCN5868",3679536,191952,0.0886924361630875
"31","DSCN5869",3699590,171898,0.0794263794675878
"32","DSCN5870",3683961,187527,0.0866478415247318
"33","DSCN5871",3723998,147490,0.0681485340590032
"34","DSCN5872",3644779,226709,0.104752091721354
"35","DSCN5873",3763035,108453,0.0501112818787787
