"","sample","total.leaf.area","white","canopy_opennes"
"1","DSCN5813",3668977,202511,0.0935712779227256
"2","DSCN5814",3690923,180565,0.0834310126270521
"3","DSCN5815",3709244,162244,0.074965697741331
"4","DSCN5816",3674095,197393,0.0912064789715155
"5","DSCN5817",3675191,196297,0.0907000663786029
"6","DSCN5818",3662209,209279,0.0966984680950175
"7","DSCN5819",3651747,219741,0.101532490491962
"8","DSCN5820",3670728,200760,0.0927622191178078
"9","DSCN5821",3686002,185486,0.0857047866870179
"10","DSCN5822",3679405,192083,0.0887529654054886
"11","DSCN5823",3680465,191023,0.0882631868028542
"12","DSCN5824",3683311,188177,0.0869481774603095
"13","DSCN5825",3683472,188016,0.0868737865593433
"14","DSCN5826",3695065,176423,0.081517179634494
"15","DSCN5827",3709698,161790,0.0747559246417121
"16","DSCN5828",3707337,164151,0.0758468371707874
"17","DSCN5829",3729142,142346,0.06577172167037
"18","DSCN5830",3715165,156323,0.0722298683958611
"19","DSCN5831",3723638,147850,0.0683148739617847
