Plot ,species,Distance ,angel,individual,leaf ID,disc , disc_area,fresh_weight ,dry_weight ,canopy_openness
5,Melastoma_candidum,7.3,246,1,1,5,10,0.0469,0.0133,0.093571
5,Melastoma_candidum,7.3,246,1,2,5,10,0.0497,0.014,0.093571
5,Melastoma_candidum,7.3,246,1,3,5,10,0.0476,0.0141,0.093571
5,Melastoma_candidum,7.3,246,1,4,5,10,0.0453,0.014,0.093571
5,Melastoma_candidum,7.3,246,1,5,5,10,0.0489,0.0158,0.093571
5,Melastoma_candidum,4.8,240,2,1,5,10,0.0489,0.0148,0.083431
5,Melastoma_candidum,4.8,240,2,2,5,10,0.0453,0.0128,0.083431
5,Melastoma_candidum,4.8,240,2,3,5,10,0.048,0.0126,0.083431
5,Melastoma_candidum,4.8,240,2,4,5,10,0.0499,0.0151,0.083431
5,Melastoma_candidum,4.8,240,2,5,5,10,0.0479,0.0136,0.083431
5,Melastoma_candidum,4,238,3,1,5,10,0.0449,0.0127,0.074966
5,Melastoma_candidum,4,238,3,2,5,10,0.0424,0.012,0.074966
5,Melastoma_candidum,4,238,3,3,5,10,0.0481,0.0137,0.074966
5,Melastoma_candidum,4,238,3,4,5,10,0.0485,0.0135,0.074966
5,Melastoma_candidum,4,238,3,5,5,10,0.0436,0.0134,0.074966
5,Melastoma_candidum,3.7,230,4,1,5,10,0.0445,0.013,0.091206
5,Melastoma_candidum,3.7,230,4,2,5,10,0.0435,0.0111,0.091206
5,Melastoma_candidum,3.7,230,4,3,5,10,0.0425,0.012,0.091206
5,Melastoma_candidum,3.7,230,4,4,5,10,0.0424,0.0126,0.091206
5,Melastoma_candidum,3.7,230,4,5,5,10,0.0444,0.0119,0.091206
5,Melastoma_candidum,2.9,220,5,1,5,10,0.0426,0.0119,0.0907
5,Melastoma_candidum,2.9,220,5,2,5,10,0.0458,0.0119,0.0907
5,Melastoma_candidum,2.9,220,5,3,5,10,0.0468,0.0126,0.0907
5,Melastoma_candidum,2.9,220,5,4,5,10,0.0459,0.0116,0.0907
5,Melastoma_candidum,2.9,220,5,5,5,10,0.0423,0.0118,0.0907
5,Melastoma_candidum,2.8,250,6,1,5,10,0.0413,0.0093,0.096698
5,Melastoma_candidum,2.8,250,6,2,5,10,0.0423,0.0103,0.096698
5,Melastoma_candidum,2.8,250,6,3,5,10,0.0411,0.0095,0.096698
5,Melastoma_candidum,2.8,250,6,4,5,10,0.0401,0.0096,0.096698
5,Melastoma_candidum,2.8,250,6,5,5,10,0.0404,0.0102,0.096698
5,Melastoma_candidum,2.3,250,7,1,5,10,0.044,0.0117,0.101532
5,Melastoma_candidum,2.3,250,7,2,5,10,0.0449,0.0134,0.101532
5,Melastoma_candidum,2.3,250,7,3,5,10,0.0461,0.0127,0.101532
